context,a,b,scale,pair_id,generated_a,generated_b,same_context,polarity,balanced_valence,ok,comment,reversed_corrected,accepted,generated_pair_key,duplicate_generated_pair,analysis_positive,analysis_negative,positive_pole,negative_pole
Reviewing potential job postings online.,"I look for roles that offer room for growth, innovative projects, and alignment with my personal values and vision.","I look for positions with clear job descriptions, specific salary ranges, and locations that fit my daily commute.",SN,9,"I look for roles that offer room for growth, innovative projects, and alignment with my personal values and vision.","I look for positions with clear job descriptions, specific salary ranges, and locations that fit my daily commute.",True,correct,True,True,"Statement A looks at future growth, values, and abstract vision (Intuition), while Statement B looks at practical factors like commute, salary details, and specific job description facts (Sensing).",False,True,i look for positions with clear job descriptions specific salary ranges and locations that fit my daily commute || i look for roles that offer room for growth innovative projects and alignment with my personal values and vision,False,"I look for roles that offer room for growth, innovative projects, and alignment with my personal values and vision.","I look for positions with clear job descriptions, specific salary ranges, and locations that fit my daily commute.",N,S
Troubleshooting a recurring issue with a home appliance.,I think about the systemic reasons why this keeps happening and look for a completely new way to handle it.,I check the manual's troubleshooting list and try the standard physical fixes that worked in the past.,SN,10,I think about the systemic reasons why this keeps happening and look for a completely new way to handle it.,I check the manual's troubleshooting list and try the standard physical fixes that worked in the past.,True,correct,True,True,"Statement A focuses on abstract, systemic patterns and new conceptual methods (Intuition), while Statement B utilizes direct experience, standard manuals, and physical fixes (Sensing).",False,True,i check the manual s troubleshooting list and try the standard physical fixes that worked in the past || i think about the systemic reasons why this keeps happening and look for a completely new way to handle it,False,I think about the systemic reasons why this keeps happening and look for a completely new way to handle it.,I check the manual's troubleshooting list and try the standard physical fixes that worked in the past.,N,S
Getting feedback on a project from your manager.,I look for the broader implications of their comments and how it affects my overall career growth.,I appreciate specific examples of what I did well and exact instructions on what to change next time.,SN,11,I look for the broader implications of their comments and how it affects my overall career growth.,I appreciate specific examples of what I did well and exact instructions on what to change next time.,True,correct,True,True,"Statement A looks at broader, future implications of feedback (Intuition), while Statement B prefers specific, practical details and exact instructions (Sensing).",False,True,i appreciate specific examples of what i did well and exact instructions on what to change next time || i look for the broader implications of their comments and how it affects my overall career growth,False,I look for the broader implications of their comments and how it affects my overall career growth.,I appreciate specific examples of what I did well and exact instructions on what to change next time.,N,S
Taking a weekend hike through a forest.,I feel inspired by the peaceful atmosphere and contemplate the interconnectedness of the natural world around me.,"I notice the physical trail conditions, identify specific tree species, and keep track of our hiking speed.",SN,12,I feel inspired by the peaceful atmosphere and contemplate the interconnectedness of the natural world around me.,"I notice the physical trail conditions, identify specific tree species, and keep track of our hiking speed.",True,correct,True,True,"Statement A contemplates abstract ideas of interconnectedness (Intuition), whereas Statement B observes concrete physical trail conditions and specific tree names (Sensing).",False,True,i feel inspired by the peaceful atmosphere and contemplate the interconnectedness of the natural world around me || i notice the physical trail conditions identify specific tree species and keep track of our hiking speed,False,I feel inspired by the peaceful atmosphere and contemplate the interconnectedness of the natural world around me.,"I notice the physical trail conditions, identify specific tree species, and keep track of our hiking speed.",N,S
Listening to a keynote speaker at a conference.,"I pay attention to the speaker's core concepts, looking for connections to other trends in my industry.","I take detailed notes on the statistics, case studies, and practical tips that I can apply tomorrow.",SN,13,"I pay attention to the speaker's core concepts, looking for connections to other trends in my industry.","I take detailed notes on the statistics, case studies, and practical tips that I can apply tomorrow.",True,correct,True,True,"Statement A pays attention to core conceptual ideas and future trends (Intuition), whereas Statement B captures practical statistics and actionable direct tips (Sensing).",False,True,i pay attention to the speaker s core concepts looking for connections to other trends in my industry || i take detailed notes on the statistics case studies and practical tips that i can apply tomorrow,False,"I pay attention to the speaker's core concepts, looking for connections to other trends in my industry.","I take detailed notes on the statistics, case studies, and practical tips that I can apply tomorrow.",N,S
Organizing a gathering for friends at your house.,I focus on creating a memorable theme and a welcoming vibe that encourages deep conversations.,"I make sure there is enough food and drink for everyone, and keep the schedule running smoothly.",SN,14,I focus on creating a memorable theme and a welcoming vibe that encourages deep conversations.,"I make sure there is enough food and drink for everyone, and keep the schedule running smoothly.",True,correct,True,True,"Statement A centers on the abstract vibe and conceptual theme (Intuition), while Statement B tracks the concrete details of logistics and provisions (Sensing).",False,True,i focus on creating a memorable theme and a welcoming vibe that encourages deep conversations || i make sure there is enough food and drink for everyone and keep the schedule running smoothly,False,I focus on creating a memorable theme and a welcoming vibe that encourages deep conversations.,"I make sure there is enough food and drink for everyone, and keep the schedule running smoothly.",N,S
Enrolling in a course to learn a new skill.,I enjoy discussing theories and exploring different possibilities of how the subject matter can be interpreted.,"I prefer hands-on practice, concrete demonstrations, and clear-cut assignments with specific grading rubrics.",SN,15,I enjoy discussing theories and exploring different possibilities of how the subject matter can be interpreted.,"I prefer hands-on practice, concrete demonstrations, and clear-cut assignments with specific grading rubrics.",True,correct,True,True,"Statement A prefers theories and possibilities (Intuition), while Statement B prefers hands-on, concrete examples and specific guidelines (Sensing).",False,True,i enjoy discussing theories and exploring different possibilities of how the subject matter can be interpreted || i prefer hands on practice concrete demonstrations and clear cut assignments with specific grading rubrics,False,I enjoy discussing theories and exploring different possibilities of how the subject matter can be interpreted.,"I prefer hands-on practice, concrete demonstrations, and clear-cut assignments with specific grading rubrics.",N,S
Choosing a birthday present for a close friend.,I look for something symbolic or unique that represents our friendship or their personal aspirations.,I choose a practical item that I know they currently need or have specifically asked for.,SN,16,I look for something symbolic or unique that represents our friendship or their personal aspirations.,I choose a practical item that I know they currently need or have specifically asked for.,True,correct,True,True,"Statement A focuses on symbolic meanings and future aspirations (Intuition), whereas Statement B selects a practical, needed item (Sensing).",False,True,i choose a practical item that i know they currently need or have specifically asked for || i look for something symbolic or unique that represents our friendship or their personal aspirations,False,I look for something symbolic or unique that represents our friendship or their personal aspirations.,I choose a practical item that I know they currently need or have specifically asked for.,N,S
Telling a friend about a movie you recently saw.,"I talk about the underlying message, the character growth, and the artistic choices made by the director.","I describe the main events of the plot, the action sequences, and who starred in the film.",SN,17,"I talk about the underlying message, the character growth, and the artistic choices made by the director.","I describe the main events of the plot, the action sequences, and who starred in the film.",True,correct,True,True,"Statement A highlights underlying themes and artistic concepts (Intuition), while Statement B details plot points, action, and concrete movie facts (Sensing).",False,True,i describe the main events of the plot the action sequences and who starred in the film || i talk about the underlying message the character growth and the artistic choices made by the director,False,"I talk about the underlying message, the character growth, and the artistic choices made by the director.","I describe the main events of the plot, the action sequences, and who starred in the film.",N,S
Doing your weekly grocery shopping.,I browse the aisles looking for novel ingredients that inspire me to try cooking something new.,"I stick to my written list, comparing prices and checking expiration dates to get exactly what I need.",SN,18,I browse the aisles looking for novel ingredients that inspire me to try cooking something new.,"I stick to my written list, comparing prices and checking expiration dates to get exactly what I need.",True,correct,True,True,"Statement A seeks novel, inspiring future options (Intuition), whereas Statement B relies on practical grocery lists, pricing details, and concrete facts (Sensing).",False,True,i browse the aisles looking for novel ingredients that inspire me to try cooking something new || i stick to my written list comparing prices and checking expiration dates to get exactly what i need,False,I browse the aisles looking for novel ingredients that inspire me to try cooking something new.,"I stick to my written list, comparing prices and checking expiration dates to get exactly what I need.",N,S
Chatting with colleagues during a lunch break.,"I enjoy discussing future trends, hypothetical scenarios, and ideas about where society is heading.","I prefer talking about current news, local events, sports, and sharing stories about our daily lives.",SN,19,"I enjoy discussing future trends, hypothetical scenarios, and ideas about where society is heading.","I prefer talking about current news, local events, sports, and sharing stories about our daily lives.",True,correct,True,True,"Statement A enjoys discussing future trends and abstract, hypothetical scenarios (Intuition), whereas Statement B prefers discussing current, practical events and daily lives (Sensing).",False,True,i enjoy discussing future trends hypothetical scenarios and ideas about where society is heading || i prefer talking about current news local events sports and sharing stories about our daily lives,False,"I enjoy discussing future trends, hypothetical scenarios, and ideas about where society is heading.","I prefer talking about current news, local events, sports, and sharing stories about our daily lives.",N,S
Managing the files and folders on your computer.,I set up a system based on conceptual categories that can adapt as my projects evolve.,"I organize files into clear, standardized folders labeled with exact dates and specific project names.",SN,20,I set up a system based on conceptual categories that can adapt as my projects evolve.,"I organize files into clear, standardized folders labeled with exact dates and specific project names.",True,correct,True,True,"Statement A creates a conceptual organization system designed for future changes (Intuition), while Statement B creates clear, standardized folders with exact dates (Sensing).",False,True,i organize files into clear standardized folders labeled with exact dates and specific project names || i set up a system based on conceptual categories that can adapt as my projects evolve,False,I set up a system based on conceptual categories that can adapt as my projects evolve.,"I organize files into clear, standardized folders labeled with exact dates and specific project names.",N,S
"Starting a new, undefined project at work.","I feel excited by the lack of structure, seeing it as an opportunity to define a brand-new approach.",I feel uncomfortable without clear guidelines and immediately ask for a defined brief and standard procedures.,SN,21,"I feel excited by the lack of structure, seeing it as an opportunity to define a brand-new approach.",I feel uncomfortable without clear guidelines and immediately ask for a defined brief and standard procedures.,True,correct,True,True,"Statement A is comfortable with open possibilities and a brand-new approach (Intuition), while Statement B seeks defined procedures and concrete guidelines (Sensing).",False,True,i feel excited by the lack of structure seeing it as an opportunity to define a brand new approach || i feel uncomfortable without clear guidelines and immediately ask for a defined brief and standard procedures,False,"I feel excited by the lack of structure, seeing it as an opportunity to define a brand-new approach.",I feel uncomfortable without clear guidelines and immediately ask for a defined brief and standard procedures.,N,S
Following current events on television or online.,I look for the historical patterns and global implications behind the reported headlines.,"I focus on the immediate facts of the event, the timeline, and the direct impact on local residents.",SN,22,I look for the historical patterns and global implications behind the reported headlines.,"I focus on the immediate facts of the event, the timeline, and the direct impact on local residents.",True,correct,True,True,"Statement A focuses on historical patterns and global implications (Intuition), while Statement B looks at immediate facts and direct local impact (Sensing).",False,True,i focus on the immediate facts of the event the timeline and the direct impact on local residents || i look for the historical patterns and global implications behind the reported headlines,False,I look for the historical patterns and global implications behind the reported headlines.,"I focus on the immediate facts of the event, the timeline, and the direct impact on local residents.",N,S
Shopping for new clothes for your wardrobe.,I look for unique pieces that express my personal style and suggest a creative image.,"I check the fabric quality, the comfort of the fit, and whether it matches my existing outfits.",SN,23,I look for unique pieces that express my personal style and suggest a creative image.,"I check the fabric quality, the comfort of the fit, and whether it matches my existing outfits.",True,correct,True,True,"Statement A searches for a unique creative image and personal expression (Intuition), whereas Statement B checks practical attributes like fabric, fit, and compatibility (Sensing).",False,True,i check the fabric quality the comfort of the fit and whether it matches my existing outfits || i look for unique pieces that express my personal style and suggest a creative image,False,I look for unique pieces that express my personal style and suggest a creative image.,"I check the fabric quality, the comfort of the fit, and whether it matches my existing outfits.",N,S
Working in your backyard garden.,"I enjoy imagining how the garden will look in several seasons, focusing on the overall natural aesthetic.","I spend time weeding, pruning, measuring soil moisture, and following specific watering schedules for each plant.",SN,24,"I enjoy imagining how the garden will look in several seasons, focusing on the overall natural aesthetic.","I spend time weeding, pruning, measuring soil moisture, and following specific watering schedules for each plant.",True,correct,True,True,"Statement A focuses on the long-term, future aesthetic of the garden (Intuition), whereas Statement B deals with concrete tasks like weeding, pruning, and scheduling (Sensing).",False,True,i enjoy imagining how the garden will look in several seasons focusing on the overall natural aesthetic || i spend time weeding pruning measuring soil moisture and following specific watering schedules for each plant,False,"I enjoy imagining how the garden will look in several seasons, focusing on the overall natural aesthetic.","I spend time weeding, pruning, measuring soil moisture, and following specific watering schedules for each plant.",N,S
Listening to a friend who is experiencing a dilemma.,I help them look at the situation from different angles and explore various future possibilities.,I offer practical advice based on my own past experiences and help them sort out immediate steps.,SN,25,I help them look at the situation from different angles and explore various future possibilities.,I offer practical advice based on my own past experiences and help them sort out immediate steps.,True,correct,True,True,"Statement A explores different future angles and conceptual possibilities (Intuition), while Statement B relies on past experiences to offer practical, immediate advice (Sensing).",False,True,i help them look at the situation from different angles and explore various future possibilities || i offer practical advice based on my own past experiences and help them sort out immediate steps,False,I help them look at the situation from different angles and explore various future possibilities.,I offer practical advice based on my own past experiences and help them sort out immediate steps.,N,S
Drafting a report or article on a topic.,I focus on developing a strong central thesis and connecting different conceptual ideas together.,"I focus on presenting accurate data, citing reliable sources, and structuring the report logically.",SN,26,I focus on developing a strong central thesis and connecting different conceptual ideas together.,"I focus on presenting accurate data, citing reliable sources, and structuring the report logically.",True,correct,True,True,"Statement A values central conceptual ideas and thesis building (Intuition), while Statement B focuses on accurate data, sources, and practical logical presentation (Sensing).",False,True,i focus on developing a strong central thesis and connecting different conceptual ideas together || i focus on presenting accurate data citing reliable sources and structuring the report logically,False,I focus on developing a strong central thesis and connecting different conceptual ideas together.,"I focus on presenting accurate data, citing reliable sources, and structuring the report logically.",N,S
Exploring a city you have never been to before.,"I wander around to absorb the unique atmosphere, seeking out quirky neighborhoods and hidden spots.","I use a map to visit the major historical landmarks, museums, and highly-rated restaurants.",SN,27,"I wander around to absorb the unique atmosphere, seeking out quirky neighborhoods and hidden spots.","I use a map to visit the major historical landmarks, museums, and highly-rated restaurants.",True,correct,True,True,"Statement A is interested in absorbing unique atmospheres and finding hidden spots (Intuition), while Statement B uses maps to systematically visit concrete historical landmarks (Sensing).",False,True,i use a map to visit the major historical landmarks museums and highly rated restaurants || i wander around to absorb the unique atmosphere seeking out quirky neighborhoods and hidden spots,False,"I wander around to absorb the unique atmosphere, seeking out quirky neighborhoods and hidden spots.","I use a map to visit the major historical landmarks, museums, and highly-rated restaurants.",N,S
Looking at potential homes to purchase.,"I focus on the home's potential, imagining how we could remodel the space to fit our future dreams.","I examine the current condition of the roof, the square footage, and the proximity to local schools.",SN,28,"I focus on the home's potential, imagining how we could remodel the space to fit our future dreams.","I examine the current condition of the roof, the square footage, and the proximity to local schools.",True,correct,True,True,"Statement A concentrates on remodeling potential and future dreams (Intuition), while Statement B inspects concrete physical details like the roof condition and square footage (Sensing).",False,True,i examine the current condition of the roof the square footage and the proximity to local schools || i focus on the home s potential imagining how we could remodel the space to fit our future dreams,False,"I focus on the home's potential, imagining how we could remodel the space to fit our future dreams.","I examine the current condition of the roof, the square footage, and the proximity to local schools.",N,S
Collaborating with others on a group task.,I like to brainstorm wild ideas and conceptualize the big picture before any planning begins.,"I like to assign specific roles, establish deadlines, and make sure everyone knows their exact tasks.",SN,29,I like to brainstorm wild ideas and conceptualize the big picture before any planning begins.,"I like to assign specific roles, establish deadlines, and make sure everyone knows their exact tasks.",True,correct,True,True,"Statement A focuses on wild brainstorming and the big conceptual picture (Intuition), whereas Statement B organizes tasks, roles, and concrete details (Sensing).",False,True,i like to assign specific roles establish deadlines and make sure everyone knows their exact tasks || i like to brainstorm wild ideas and conceptualize the big picture before any planning begins,False,I like to brainstorm wild ideas and conceptualize the big picture before any planning begins.,"I like to assign specific roles, establish deadlines, and make sure everyone knows their exact tasks.",N,S
Planning a physical fitness routine.,"I prefer keeping it flexible, choosing activities based on my mood and trying new workouts to stay inspired.","I follow a structured schedule, tracking my reps, running times, and physical measurements each week.",SN,30,"I prefer keeping it flexible, choosing activities based on my mood and trying new workouts to stay inspired.","I follow a structured schedule, tracking my reps, running times, and physical measurements each week.",True,correct,True,True,"Statement A keeps the routine flexible and focuses on inspiration (Intuition), while Statement B adheres to a structured, data-driven tracking schedule (Sensing).",False,True,i follow a structured schedule tracking my reps running times and physical measurements each week || i prefer keeping it flexible choosing activities based on my mood and trying new workouts to stay inspired,False,"I prefer keeping it flexible, choosing activities based on my mood and trying new workouts to stay inspired.","I follow a structured schedule, tracking my reps, running times, and physical measurements each week.",N,S
Studying a historical event.,I am interested in the underlying philosophical movements and social shifts that caused the event.,"I focus on learning the exact dates, key historical figures, and the sequence of events.",SN,31,I am interested in the underlying philosophical movements and social shifts that caused the event.,"I focus on learning the exact dates, key historical figures, and the sequence of events.",True,correct,True,True,"Statement A looks for philosophical shifts and abstract patterns (Intuition), whereas Statement B looks for precise dates and concrete sequences of historical events (Sensing).",False,True,i am interested in the underlying philosophical movements and social shifts that caused the event || i focus on learning the exact dates key historical figures and the sequence of events,False,I am interested in the underlying philosophical movements and social shifts that caused the event.,"I focus on learning the exact dates, key historical figures, and the sequence of events.",N,S
Deciding what to order from a menu at a restaurant.,I like trying the most unusual or innovative dish on the menu to experience something different.,I tend to order a classic dish that I know I already enjoy and trust to be good.,SN,32,I like trying the most unusual or innovative dish on the menu to experience something different.,I tend to order a classic dish that I know I already enjoy and trust to be good.,True,correct,True,True,"Statement A values trying innovative, unique dishes (Intuition), while Statement B prefers direct, proven experience with classic choices (Sensing).",False,True,i like trying the most unusual or innovative dish on the menu to experience something different || i tend to order a classic dish that i know i already enjoy and trust to be good,False,I like trying the most unusual or innovative dish on the menu to experience something different.,I tend to order a classic dish that I know I already enjoy and trust to be good.,N,S
Playing a strategic board game with friends.,I enjoy coming up with unexpected strategies and predicting my opponents' long-term moves.,"I focus on the current state of the board, calculating the immediate point values of each move.",SN,33,I enjoy coming up with unexpected strategies and predicting my opponents' long-term moves.,"I focus on the current state of the board, calculating the immediate point values of each move.",True,correct,True,True,"Statement A looks at unexpected, long-term strategic possibilities (Intuition), while Statement B focuses on immediate point values and the current board layout (Sensing).",False,True,i enjoy coming up with unexpected strategies and predicting my opponents long term moves || i focus on the current state of the board calculating the immediate point values of each move,False,I enjoy coming up with unexpected strategies and predicting my opponents' long-term moves.,"I focus on the current state of the board, calculating the immediate point values of each move.",N,S
Putting together a piece of flat-pack furniture.,I often glance at the picture of the finished product and figure out the assembly process as I go.,"I inventory all the screws and parts first, then follow the numbered instruction steps exactly.",SN,34,I often glance at the picture of the finished product and figure out the assembly process as I go.,"I inventory all the screws and parts first, then follow the numbered instruction steps exactly.",True,correct,True,True,"Statement A utilizes a conceptual approach of looking at the big picture (Intuition), while Statement B relies on practical inventorying and exact sequential steps (Sensing).",False,True,i inventory all the screws and parts first then follow the numbered instruction steps exactly || i often glance at the picture of the finished product and figure out the assembly process as i go,False,I often glance at the picture of the finished product and figure out the assembly process as I go.,"I inventory all the screws and parts first, then follow the numbered instruction steps exactly.",N,S
Reading about a breakthrough in science.,I think about how this discovery might change our understanding of the universe and its future applications.,"I look at the experimental data, the specific methodology used, and the immediate verifiable results.",SN,35,I think about how this discovery might change our understanding of the universe and its future applications.,"I look at the experimental data, the specific methodology used, and the immediate verifiable results.",True,correct,True,True,"Statement A envisions future applications and cosmic implications (Intuition), while Statement B evaluates methodology, raw data, and immediate results (Sensing).",False,True,i look at the experimental data the specific methodology used and the immediate verifiable results || i think about how this discovery might change our understanding of the universe and its future applications,False,I think about how this discovery might change our understanding of the universe and its future applications.,"I look at the experimental data, the specific methodology used, and the immediate verifiable results.",N,S
Preparing an agenda for an upcoming team meeting.,I leave time for open discussion and brainstorming to explore unexpected ideas that might come up.,I allocate specific time blocks for each topic to ensure we cover all necessary operational updates.,SN,36,I leave time for open discussion and brainstorming to explore unexpected ideas that might come up.,I allocate specific time blocks for each topic to ensure we cover all necessary operational updates.,True,correct,True,True,"Statement A prioritizes open-ended brainstorming and unexpected thoughts (Intuition), whereas Statement B structures specific, practical timeframes for updates (Sensing).",False,True,i allocate specific time blocks for each topic to ensure we cover all necessary operational updates || i leave time for open discussion and brainstorming to explore unexpected ideas that might come up,False,I leave time for open discussion and brainstorming to explore unexpected ideas that might come up.,I allocate specific time blocks for each topic to ensure we cover all necessary operational updates.,N,S
Taking photographs while on a walk.,"I look for abstract patterns, interesting shadows, and shots that capture a specific mood or feeling.","I focus on capturing clear, realistic images of the landmarks and the people I am with.",SN,37,"I look for abstract patterns, interesting shadows, and shots that capture a specific mood or feeling.","I focus on capturing clear, realistic images of the landmarks and the people I am with.",True,correct,True,True,"Statement A captures abstract patterns and moods (Intuition), while Statement B captures realistic and clear photos of direct subjects (Sensing).",False,True,i focus on capturing clear realistic images of the landmarks and the people i am with || i look for abstract patterns interesting shadows and shots that capture a specific mood or feeling,False,"I look for abstract patterns, interesting shadows, and shots that capture a specific mood or feeling.","I focus on capturing clear, realistic images of the landmarks and the people I am with.",N,S
Deciding on a professional career path.,"I look for a field that allows me to innovate, express my vision, and continually learn new concepts.","I look for a stable field with steady job growth, reliable income, and clear day-to-day responsibilities.",SN,38,"I look for a field that allows me to innovate, express my vision, and continually learn new concepts.","I look for a stable field with steady job growth, reliable income, and clear day-to-day responsibilities.",True,correct,True,True,"Statement A seeks conceptual innovation and future potential (Intuition), while Statement B prioritizes stable income and clear, concrete day-to-day duties (Sensing).",False,True,i look for a field that allows me to innovate express my vision and continually learn new concepts || i look for a stable field with steady job growth reliable income and clear day to day responsibilities,False,"I look for a field that allows me to innovate, express my vision, and continually learn new concepts.","I look for a stable field with steady job growth, reliable income, and clear day-to-day responsibilities.",N,S
Watching a live theatrical play.,I reflect on the symbolic themes of the story and what the play says about human nature.,"I appreciate the realistic acting, the quality of the set design, and the timing of the lighting.",SN,39,I reflect on the symbolic themes of the story and what the play says about human nature.,"I appreciate the realistic acting, the quality of the set design, and the timing of the lighting.",True,correct,True,True,"Statement A reflects on underlying thematic messages and human nature concepts (Intuition), whereas Statement B observes realistic details of lighting, set design, and acting (Sensing).",False,True,i appreciate the realistic acting the quality of the set design and the timing of the lighting || i reflect on the symbolic themes of the story and what the play says about human nature,False,I reflect on the symbolic themes of the story and what the play says about human nature.,"I appreciate the realistic acting, the quality of the set design, and the timing of the lighting.",N,S
Your team has a limited budget left for the year-end project.,I allocate the remaining funds strictly based on cost-benefit analysis and projected return on investment.,I distribute the budget to support the team members who have been struggling with heavy workloads.,FT,0,I allocate the remaining funds strictly based on cost-benefit analysis and projected return on investment.,I distribute the budget to support the team members who have been struggling with heavy workloads.,True,correct,True,True,"Option a focuses on objective criteria/ROI (FIRST), while option b focuses on team wellbeing and workload (SECOND).",False,True,i allocate the remaining funds strictly based on cost benefit analysis and projected return on investment || i distribute the budget to support the team members who have been struggling with heavy workloads,False,I allocate the remaining funds strictly based on cost-benefit analysis and projected return on investment.,I distribute the budget to support the team members who have been struggling with heavy workloads.,T,F
You are hiring for a role and two candidates have different strengths.,I select the candidate who scores highest on the technical skills test and meets all job specifications.,I choose the candidate who fits best with our team culture and shows great enthusiasm for collaborating.,FT,1,I select the candidate who scores highest on the technical skills test and meets all job specifications.,I choose the candidate who fits best with our team culture and shows great enthusiasm for collaborating.,True,correct,True,True,"Option a uses objective test scores (FIRST), while option b focuses on team fit and collaboration (SECOND).",False,True,i choose the candidate who fits best with our team culture and shows great enthusiasm for collaborating || i select the candidate who scores highest on the technical skills test and meets all job specifications,False,I select the candidate who scores highest on the technical skills test and meets all job specifications.,I choose the candidate who fits best with our team culture and shows great enthusiasm for collaborating.,T,F
"A colleague misses a major deadline, delaying the project.","I review the project timeline and establish strict, clear milestones to get the schedule back on track.",I check in with the colleague to see if they are doing okay and offer support to help them catch up.,FT,2,"I review the project timeline and establish strict, clear milestones to get the schedule back on track.",I check in with the colleague to see if they are doing okay and offer support to help them catch up.,True,correct,True,True,"Option a uses milestones and timeline adjustments (FIRST), while option b offers empathy and personal support (SECOND).",False,True,i check in with the colleague to see if they are doing okay and offer support to help them catch up || i review the project timeline and establish strict clear milestones to get the schedule back on track,False,"I review the project timeline and establish strict, clear milestones to get the schedule back on track.",I check in with the colleague to see if they are doing okay and offer support to help them catch up.,T,F
Two colleagues disagree on how to implement a new policy.,I evaluate both proposals against our company guidelines and choose the option that is most efficient.,"I facilitate a meeting where both can express their views, aiming to find a compromise that keeps everyone happy.",FT,3,I evaluate both proposals against our company guidelines and choose the option that is most efficient.,"I facilitate a meeting where both can express their views, aiming to find a compromise that keeps everyone happy.",True,correct,True,True,"Option a uses guidelines and efficiency (FIRST), while option b seeks group harmony and compromise (SECOND).",False,True,i evaluate both proposals against our company guidelines and choose the option that is most efficient || i facilitate a meeting where both can express their views aiming to find a compromise that keeps everyone happy,False,I evaluate both proposals against our company guidelines and choose the option that is most efficient.,"I facilitate a meeting where both can express their views, aiming to find a compromise that keeps everyone happy.",T,F
You are organizing the next quarterly team outing.,I choose an activity that fits our budget and offers the highest scheduled participation rate.,I send out a poll to see what everyone feels like doing so that nobody feels left out.,FT,4,I choose an activity that fits our budget and offers the highest scheduled participation rate.,I send out a poll to see what everyone feels like doing so that nobody feels left out.,True,correct,True,True,"Option a optimizes for budget and participation metrics (FIRST), while option b ensures everyone is included and comfortable (SECOND).",False,True,i choose an activity that fits our budget and offers the highest scheduled participation rate || i send out a poll to see what everyone feels like doing so that nobody feels left out,False,I choose an activity that fits our budget and offers the highest scheduled participation rate.,I send out a poll to see what everyone feels like doing so that nobody feels left out.,T,F
You need to deliver constructive criticism to an underperforming employee.,I present a clear list of their performance metrics and point out exactly where they fell short of the targets.,I start by highlighting their strengths and gently discuss how we can work together to improve their situation.,FT,5,I present a clear list of their performance metrics and point out exactly where they fell short of the targets.,I start by highlighting their strengths and gently discuss how we can work together to improve their situation.,True,correct,True,True,"Option a focuses strictly on performance metrics (FIRST), while option b prioritizes relationship-building and empathy (SECOND).",False,True,i present a clear list of their performance metrics and point out exactly where they fell short of the targets || i start by highlighting their strengths and gently discuss how we can work together to improve their situation,False,I present a clear list of their performance metrics and point out exactly where they fell short of the targets.,I start by highlighting their strengths and gently discuss how we can work together to improve their situation.,T,F
A customer is angry about a delayed shipment and demands a refund.,I check our standard refund policy and apply the exact rules that correspond to this specific shipping category.,I apologize sincerely for the frustration caused and offer a refund to restore their trust in us.,FT,6,I check our standard refund policy and apply the exact rules that correspond to this specific shipping category.,I apologize sincerely for the frustration caused and offer a refund to restore their trust in us.,True,correct,True,True,"Option a applies the standard policy rules (FIRST), while option b prioritizes repairing the relationship and restoring trust (SECOND).",False,True,i apologize sincerely for the frustration caused and offer a refund to restore their trust in us || i check our standard refund policy and apply the exact rules that correspond to this specific shipping category,False,I check our standard refund policy and apply the exact rules that correspond to this specific shipping category.,I apologize sincerely for the frustration caused and offer a refund to restore their trust in us.,T,F
The office is being reorganized and seating arrangements need to be assigned.,I assign desks based on department functions and proximity to necessary office equipment.,I let people choose their spots so that everyone can sit next to the colleagues they get along with best.,FT,7,I assign desks based on department functions and proximity to necessary office equipment.,I let people choose their spots so that everyone can sit next to the colleagues they get along with best.,True,correct,True,True,"Option a organizes based on functional logic (FIRST), while option b aims for personal comfort and team dynamics (SECOND).",False,True,i assign desks based on department functions and proximity to necessary office equipment || i let people choose their spots so that everyone can sit next to the colleagues they get along with best,False,I assign desks based on department functions and proximity to necessary office equipment.,I let people choose their spots so that everyone can sit next to the colleagues they get along with best.,T,F
You need to select a software vendor for your department.,"I compare the technical features, pricing plans, and system uptime metrics of each option.",I look for a vendor known for excellent customer support and values that align with our organization.,FT,8,"I compare the technical features, pricing plans, and system uptime metrics of each option.",I look for a vendor known for excellent customer support and values that align with our organization.,True,correct,True,True,"Option a relies on technical and financial metrics (FIRST), while option b prioritizes relationship support and shared values (SECOND).",False,True,i compare the technical features pricing plans and system uptime metrics of each option || i look for a vendor known for excellent customer support and values that align with our organization,False,"I compare the technical features, pricing plans, and system uptime metrics of each option.",I look for a vendor known for excellent customer support and values that align with our organization.,T,F
An employee accidentally violates a minor company security protocol.,I issue the standard formal warning to ensure compliance and maintain consistent enforcement of rules.,I discuss the mistake privately to understand their perspective and help them avoid doing it again.,FT,9,I issue the standard formal warning to ensure compliance and maintain consistent enforcement of rules.,I discuss the mistake privately to understand their perspective and help them avoid doing it again.,True,correct,True,True,"Option a focuses on rule compliance and consistency (FIRST), while option b uses personal coaching and empathy (SECOND).",False,True,i discuss the mistake privately to understand their perspective and help them avoid doing it again || i issue the standard formal warning to ensure compliance and maintain consistent enforcement of rules,False,I issue the standard formal warning to ensure compliance and maintain consistent enforcement of rules.,I discuss the mistake privately to understand their perspective and help them avoid doing it again.,T,F
